method,hr_0.0025,hr_0.005,hr_0.01,hr_0.02,hr_0.05,pai_0.01,hr_ksi_0.01,share_mean,share_min,share_max,hr_own,pai_own,hr_ksi_own
Counts (years t-2..t),0.055820783383829606,0.09403755441843123,0.15463959649923542,0.24873586154069124,0.44458879838033044,15.463959649923542,0.14424695054848677,,,,,,
KDE h=100 m,0.050719220639414545,0.08699785024346063,0.1426066176973315,0.22859165084983593,0.4082453117316753,14.260661769733149,0.13043242357702328,,,,,,
Counts (year t),0.050409952863497344,0.0835404163854468,0.13874440691908937,0.22120131037486637,0.38124014606070966,13.874440691908937,0.12773632128223167,,,,,,
KDE h=200 m,0.039853676054452905,0.06804789711067478,0.11458865939193981,0.18910328494165785,0.3529947009092716,11.45886593919398,0.10035491991869179,,,,,,
KDE h=400 m,0.02535351440727136,0.044400992541190835,0.0762955432725373,0.13390076519683752,0.2778541677364135,7.6295543272537305,0.0620007047511698,,,,,,
DBSCAN eps=100 m,0.040556561465428534,0.06420813754683358,0.07349489570643608,0.0828895610911102,0.11169961503998105,7.349489570643608,0.06816114893147822,,,,,,
HDBSCAN,0.01691653892524233,0.035539247514829536,0.06911096561734778,0.14574849274551252,0.3403422009000714,6.9110965617347775,0.06144109851346193,,,,,,
Gi* r=400 m,0.019137167844798658,0.03617545359547285,0.06774965665792379,0.12173781034755878,0.2616944801705884,6.7749656657923785,0.057692446061847605,,,,,,
МКДТП criterion,,,,,,,,0.0072105550784604105,0.0059021000858771,0.0094308689202904,0.10129449682516119,14.094978786004305,0.09450695955024924
